fecha;LTM CI Equity;SQM/B CI Equity;COPEC CI Equity;SALFACORP CI Equity;VAPORES CI Equity;CAP CI Equity;BSAN CI Equity;CMPC CI Equity;FALAB CI Equity
16-05-2019;6130;23300;7530;840,94;20,73;7010;48,81;2041;4620
17-05-2019;5900,2;22601;7411;839,99;20,46;7020;48;2000;4575
20-05-2019;5751;22700;7350,1;839,97;20,13;6934,4;48,31;1978;4510
21-05-2019;5751;22700;7350,1;839,97;20,13;6934,4;48,31;1978;4510
22-05-2019;5880,3;22800;7335;845;20,27;7225;48,42;1935,3;4500
23-05-2019;5900;21375;7311;842,5;20,25;7161,1;48,8;1888;4500
24-05-2019;5850,1;20800;7197,8;841,39;20,81;7300;48,82;1850;4430
27-05-2019;5839,3;20300;7062,2;828,96;20,66;7350;48,4;1824;4360
28-05-2019;5928,01;20500;7119,99;827,9;20,68;7205,2;48,649;1805,01;4250
29-05-2019;5923,9;20600;7084;820;20,32;7200;48,6;1819,9;4290
30-05-2019;6112;21250;7380;818,15;20,4;7103;49,35;1880;4310
31-05-2019;6220;21402;7340,2;816,8;20,21;7041;49,96;1885;4280
03-06-2019;6370;22000;7399,8;820;20,39;7090;49,98;1879;4289
04-06-2019;6349,9;22499;7473;814,64;20,8;7144,9;49,52;1886;4277,9
05-06-2019;6267,7;21850;7238;805;20,59;7100;49,68;1840;4270
06-06-2019;6283,2;21800;7120,1;805;20,52;7021,5;49,39;1808;4248
07-06-2019;6339,4;21600;7125;795,34;20,41;7201;49,95;1809;4249,9
10-06-2019;6440;22120;7190;814,52;20,62;7296;50,75;1823,9;4289,9
11-06-2019;6400;22830;7305;819,98;21,01;7425;51,5;1846;4340
12-06-2019;6363;22201;7328;819,99;20,83;7400,1;51,5;1849;4370
13-06-2019;6420;22425;7343;828,71;21,35;7425;51,3;1844,1;4400
14-06-2019;6307;21873;7290;826,02;21,4;7400;51,49;1858;4364,8
17-06-2019;6248,9;22012;7185,1;827,46;21,48;7375;50,7;1831,5;4330
18-06-2019;6350;21950;7180;825,02;22,1;7579,8;50,9;1822;4285
19-06-2019;6400;21670;7165;833,1;22,23;7611;50,72;1830;4285
20-06-2019;6440;21592;7220;860;22,46;7740;50,47;1849,9;4290
21-06-2019;6350;21520;7250;875,01;22,47;7631;50,1;1890;4300
24-06-2019;6344,9;21092;7450;886,59;22,89;7640,1;50,34;1890;4388
25-06-2019;6380;20835;7430;883,43;22,65;7650;50,69;1882;4500
26-06-2019;6380;21060;7350;868,52;22,85;7769;51,2;1880;4445
27-06-2019;6300;21450;7331;868,5;23,2;7825;50,63;1861;4449,9
28-06-2019;6375;21050;7424;855;23,39;7766;50,5;1860;4424,9
01-07-2019;6380;20800;7265;854,61;24,31;7880;50,85;1830,1;4401
02-07-2019;6200;20310;7100;850;24,4;7820;50,65;1815;4370
03-07-2019;6230;20500;7099,5;849,99;24,5;7923,8;51,15;1830;4430
04-07-2019;6200;20600;7125;852;24,8;7879;51,13;1841;4425
05-07-2019;6495;20630;7290;850;24,79;7712;51,49;1848;4430
08-07-2019;6604;20250;7200;842,9;24,32;7779,7;51,3;1835;4485
09-07-2019;6799;19898;7100;830,79;24,05;7710;50,99;1835;4458
10-07-2019;7035;19880;7040;840,65;23,95;7762,1;51;1822,3;4456,9
11-07-2019;6900;20098;6995;830,03;23,49;7835;51;1825;4469
12-07-2019;6899,99;20550;7015;827,9;23,5;7864,99;51,26;1825;4480,99
15-07-2019;6773,9;20781;7049;824,62;23,61;7823,7;50,8;1829,9;4499
16-07-2019;6773,9;20781;7049;824,62;23,61;7823,7;50,8;1829,9;4499
17-07-2019;6680;20300;7030;824,99;23;7640;51,11;1825;4500
